             v1        OLR1_CO2        OLR2_CO2
      300.10000         0.31315         0.31275
      301.10000         0.31431         0.31390
      302.10000         0.31546         0.31505
      303.10000         0.31661         0.31619
      304.10000         0.31776         0.31734
      305.10000         0.31890         0.31848
      306.10000         0.32004         0.31961
      307.10000         0.32116         0.32073
      308.10000         0.32231         0.32187
      309.10000         0.32344         0.32299
      310.10000         0.32456         0.32412
      311.10000         0.32568         0.32523
      312.10000         0.32680         0.32635
      313.10000         0.32792         0.32746
      314.10000         0.32903         0.32857
      315.10000         0.33014         0.32967
      316.10000         0.33125         0.33077
      317.10000         0.33235         0.33187
      318.10000         0.33344         0.33296
      319.10000         0.33454         0.33405
      320.10000         0.33563         0.33514
      321.10000         0.33672         0.33622
      322.10000         0.33780         0.33730
      323.10000         0.33888         0.33838
      324.10000         0.33994         0.33943
      325.10000         0.34103         0.34052
      326.10000         0.34209         0.34158
      327.10000         0.34313         0.34261
      328.10000         0.34422         0.34370
      329.10000         0.34528         0.34475
      330.10000         0.34626         0.34573
      331.10000         0.34738         0.34684
      332.10000         0.34843         0.34788
      333.10000         0.34947         0.34892
      334.10000         0.35051         0.34995
      335.10000         0.35153         0.35097
      336.10000         0.35258         0.35201
      337.10000         0.35360         0.35303
      338.10000         0.35463         0.35405
      339.10000         0.35564         0.35506
      340.10000         0.35666         0.35607
      341.10000         0.35766         0.35707
      342.10000         0.35868         0.35808
      343.10000         0.35968         0.35908
      344.10000         0.36065         0.36004
      345.10000         0.36167         0.36105
      346.10000         0.36267         0.36205
      347.10000         0.36366         0.36303
      348.10000         0.36464         0.36401
      349.10000         0.36562         0.36498
      350.10000         0.36659         0.36595
      351.10000         0.36756         0.36691
      352.10000         0.36853         0.36788
      353.10000         0.36950         0.36883
      354.10000         0.37046         0.36979
      355.10000         0.37141         0.37073
      356.10000         0.37236         0.37168
      357.10000         0.37330         0.37261
      358.10000         0.37370         0.37301
      359.10000         0.37519         0.37449
      360.10000         0.37612         0.37542
      361.10000         0.37706         0.37634
      362.10000         0.37798         0.37726
      363.10000         0.37890         0.37817
      364.10000         0.37982         0.37909
      365.10000         0.38073         0.37999
      366.10000         0.38165         0.38090
      367.10000         0.38255         0.38180
      368.10000         0.38345         0.38269
      369.10000         0.38435         0.38358
      370.10000         0.38524         0.38446
      371.10000         0.38613         0.38534
      372.10000         0.38701         0.38622
      373.10000         0.38789         0.38709
      374.10000         0.38877         0.38796
      375.10000         0.38964         0.38882
      376.10000         0.39050         0.38968
      377.10000         0.39137         0.39054
      378.10000         0.39222         0.39139
      379.10000         0.39308         0.39223
      380.10000         0.39393         0.39308
      381.10000         0.39477         0.39391
      382.10000         0.39561         0.39475
      383.10000         0.39645         0.39557
      384.10000         0.39728         0.39640
      385.10000         0.39811         0.39722
      386.10000         0.39893         0.39803
      387.10000         0.39975         0.39884
      388.10000         0.40057         0.39965
      389.10000         0.40138         0.40045
      390.10000         0.40218         0.40125
      391.10000         0.40298         0.40204
      392.10000         0.40378         0.40283
      393.10000         0.40457         0.40361
      394.10000         0.40536         0.40439
      395.10000         0.40614         0.40516
      396.10000         0.40692         0.40593
      397.10000         0.40770         0.40670
      398.10000         0.40847         0.40746
      399.10000         0.40923         0.40821
      400.10000         0.40999         0.40896
      401.10000         0.41075         0.40971
      402.10000         0.41150         0.41045
      403.10000         0.41225         0.41119
      404.10000         0.41299         0.41192
      405.10000         0.41373         0.41265
      406.10000         0.41447         0.41338
      407.10000         0.41520         0.41410
      408.10000         0.41592         0.41481
      409.10000         0.41664         0.41552
      410.10000         0.41736         0.41623
      411.10000         0.41807         0.41693
      412.10000         0.41878         0.41762
      413.10000         0.41948         0.41831
      414.10000         0.42018         0.41900
      415.10000         0.42087         0.41968
      416.10000         0.42156         0.42036
      417.10000         0.42225         0.42103
      418.10000         0.42293         0.42170
      419.10000         0.42360         0.42237
      420.10000         0.42427         0.42302
      421.10000         0.42494         0.42368
      422.10000         0.42560         0.42433
      423.10000         0.42626         0.42497
      424.10000         0.42691         0.42561
      425.10000         0.42756         0.42625
      426.10000         0.42820         0.42688
      427.10000         0.42884         0.42750
      428.10000         0.42948         0.42812
      429.10000         0.43011         0.42874
      430.10000         0.43073         0.42935
      431.10000         0.43135         0.42996
      432.10000         0.43197         0.43056
      433.10000         0.43258         0.43116
      434.10000         0.43319         0.43175
      435.10000         0.43379         0.43234
      436.10000         0.43439         0.43292
      437.10000         0.43498         0.43350
      438.10000         0.43557         0.43407
      439.10000         0.43615         0.43464
      440.10000         0.43673         0.43520
      441.10000         0.43731         0.43576
      442.10000         0.43788         0.43632
      443.10000         0.43844         0.43686
      444.10000         0.43900         0.43741
      445.10000         0.43956         0.43795
      446.10000         0.44011         0.43848
      447.10000         0.44066         0.43901
      448.10000         0.44120         0.43954
      449.10000         0.44173         0.44005
      450.10000         0.44227         0.44057
      451.10000         0.44280         0.44108
      452.10000         0.44332         0.44158
      453.10000         0.44384         0.44209
      454.10000         0.44436         0.44258
      455.10000         0.44486         0.44307
      456.10000         0.44537         0.44356
      457.10000         0.44587         0.44404
      458.10000         0.44636         0.44451
      459.10000         0.44686         0.44499
      460.10000         0.44734         0.44545
      461.10000         0.44782         0.44590
      462.10000         0.44830         0.44637
      463.10000         0.44878         0.44682
      464.10000         0.44924         0.44726
      465.10000         0.44971         0.44771
      466.10000         0.45016         0.44815
      467.10000         0.45062         0.44857
      468.10000         0.45107         0.44900
      469.10000         0.45151         0.44942
      470.10000         0.45195         0.44983
      471.10000         0.45227         0.45001
      472.10000         0.45282         0.45066
      473.10000         0.45324         0.45106
      474.10000         0.45366         0.45145
      475.10000         0.45408         0.45184
      476.10000         0.45449         0.45222
      477.10000         0.45490         0.45261
      478.10000         0.45530         0.45298
      479.10000         0.45569         0.45334
      480.10000         0.45608         0.45371
      481.10000         0.45648         0.45408
      482.10000         0.45685         0.45442
      483.10000         0.45724         0.45478
      484.10000         0.45761         0.45512
      485.10000         0.45797         0.45545
      486.10000         0.45834         0.45578
      487.10000         0.45870         0.45612
      488.10000         0.45906         0.45644
      489.10000         0.45939         0.45674
      490.10000         0.45975         0.45707
      491.10000         0.46009         0.45738
      492.10000         0.46041         0.45765
      493.10000         0.46076         0.45798
      494.10000         0.46108         0.45826
      495.10000         0.46139         0.45853
      496.10000         0.46172         0.45883
      497.10000         0.46202         0.45909
      498.10000         0.46233         0.45937
      499.10000         0.46264         0.45964
      500.10000         0.46291         0.45986
      501.10000         0.46322         0.46015
      502.10000         0.46351         0.46040
      503.10000         0.46376         0.46059
      504.10000         0.46407         0.46087
      505.10000         0.46434         0.46111
      506.10000         0.46455         0.46123
      507.10000         0.46486         0.46153
      508.10000         0.46458         0.46068
      509.10000         0.46521         0.46163
      510.10000         0.46557         0.46207
      511.10000         0.46583         0.46229
      512.10000         0.46589         0.46213
      513.10000         0.46629         0.46265
      514.10000         0.46655         0.46288
      515.10000         0.46639         0.46231
      516.10000         0.46689         0.46304
      517.10000         0.46719         0.46336
      518.10000         0.46682         0.46239
      519.10000         0.46744         0.46336
      520.10000         0.46778         0.46378
      521.10000         0.46707         0.46213
      522.10000         0.46798         0.46369
      523.10000         0.46831         0.46411
      524.10000         0.46716         0.46162
      525.10000         0.46847         0.46397
      526.10000         0.46879         0.46437
      527.10000         0.46706         0.46078
      528.10000         0.46900         0.46435
      529.10000         0.46923         0.46460
      530.10000         0.46708         0.46022
      531.10000         0.46944         0.46460
      532.10000         0.46964         0.46480
      533.10000         0.46750         0.46047
      534.10000         0.46987         0.46486
      535.10000         0.46996         0.46486
      536.10000         0.46853         0.46194
      537.10000         0.47022         0.46500
      538.10000         0.47019         0.46477
      539.10000         0.46972         0.46371
      540.10000         0.47051         0.46505
      541.10000         0.46950         0.46291
      542.10000         0.47051         0.46474
      543.10000         0.47041         0.46440
      544.10000         0.44314         0.41734
      545.10000         0.45713         0.43907
      546.10000         0.46795         0.45925
      547.10000         0.47024         0.46349
      548.10000         0.46775         0.45854
      549.10000         0.47075         0.46421
      550.10000         0.47064         0.46387
      551.10000         0.46755         0.45788
      552.10000         0.47059         0.46352
      553.10000         0.47080         0.46381
      554.10000         0.46864         0.45964
      555.10000         0.47052         0.46305
      556.10000         0.46811         0.45825
      557.10000         0.46920         0.46035
      558.10000         0.47044         0.46260
      559.10000         0.46594         0.45391
      560.10000         0.46927         0.46018
      561.10000         0.46987         0.46120
      562.10000         0.46680         0.45541
      563.10000         0.46813         0.45781
      564.10000         0.46540         0.45260
      565.10000         0.46779         0.45695
      566.10000         0.46531         0.45222
      567.10000         0.46681         0.45500
      568.10000         0.46395         0.44953
      569.10000         0.46108         0.44496
      570.10000         0.46757         0.45628
      571.10000         0.44974         0.42411
      572.10000         0.46525         0.45195
      573.10000         0.46706         0.45511
      574.10000         0.44161         0.41369
      575.10000         0.46540         0.45199
      576.10000         0.43167         0.39239
      577.10000         0.44741         0.42676
      578.10000         0.46421         0.44967
      579.10000         0.40266         0.35078
      580.10000         0.45832         0.44040
      581.10000         0.42603         0.38601
      582.10000         0.38285         0.34737
      583.10000         0.45918         0.44067
      584.10000         0.36021         0.28912
      585.10000         0.40871         0.38575
      586.10000         0.43690         0.40042
      587.10000         0.27749         0.21682
      588.10000         0.43482         0.41122
      589.10000         0.42292         0.38238
      590.10000         0.30093         0.27567
      591.10000         0.43912         0.40944
      592.10000         0.39311         0.33533
      593.10000         0.35296         0.32708
      594.10000         0.41597         0.36927
      595.10000         0.15696         0.13644
      596.10000         0.35213         0.31308
      597.10000         0.20202         0.17263
      598.10000         0.23405         0.21538
      599.10000         0.40460         0.36683
      600.10000         0.38077         0.31816
      601.10000         0.29451         0.26614
      602.10000         0.40539         0.36147
      603.10000         0.15868         0.17000
      604.10000         0.32952         0.29335
      605.10000         0.38229         0.32357
      606.10000         0.14532         0.12926
      607.10000         0.35373         0.30818
      608.10000         0.35925         0.29555
      609.10000         0.23240         0.20553
      610.10000         0.36410         0.31149
      611.10000         0.31795         0.24568
      612.10000         0.28862         0.25490
      613.10000         0.36086         0.30244
      614.10000         0.17874         0.19261
      615.10000         0.31513         0.26764
      616.10000         0.21540         0.18179
      617.10000         0.10559         0.11555
      618.10000         0.12540         0.12072
      619.10000         0.26987         0.20617
      620.10000         0.34400         0.29941
      621.10000         0.10277         0.11087
      622.10000         0.23489         0.17611
      623.10000         0.30417         0.27018
      624.10000         0.17671         0.14946
      625.10000         0.28634         0.23180
      626.10000         0.25124         0.21960
      627.10000         0.21250         0.18165
      628.10000         0.26932         0.21538
      629.10000         0.19627         0.16582
      630.10000         0.24087         0.20227
      631.10000         0.22386         0.16444
      632.10000         0.14877         0.12678
      633.10000         0.21402         0.17426
      634.10000         0.18790         0.14291
      635.10000         0.15840         0.17093
      636.10000         0.15091         0.11734
      637.10000         0.15322         0.15091
      638.10000         0.10075         0.10767
      639.10000         0.16097         0.12889
      640.10000         0.16231         0.18342
      641.10000         0.10387         0.11431
      642.10000         0.13635         0.11285
      643.10000         0.13846         0.15119
      644.10000         0.10779         0.12150
      645.10000         0.11848         0.10709
      646.10000         0.11528         0.12989
      647.10000         0.14416         0.16713
      648.10000         0.10325         0.10559
      649.10000         0.11703         0.13457
      650.10000         0.11926         0.13329
      651.10000         0.10210         0.10690
      652.10000         0.13173         0.15123
      653.10000         0.11299         0.12993
      654.10000         0.12874         0.14546
      655.10000         0.15725         0.17775
      656.10000         0.10926         0.12362
      657.10000         0.10168         0.11216
      658.10000         0.21903         0.24332
      659.10000         0.10298         0.11583
      660.10000         0.10221         0.11415
      661.10000         0.18903         0.20802
      662.10000         0.10771         0.11698
      663.10000         0.10664         0.12161
      664.10000         0.13083         0.14676
      665.10000         0.10356         0.11472
      666.10000         0.11456         0.13140
      667.10000         0.16663         0.18516
      668.10000         0.30924         0.31337
      669.10000         0.17687         0.20064
      670.10000         0.25302         0.27470
      671.10000         0.14071         0.15591
      672.10000         0.10057         0.11273
      673.10000         0.13548         0.15226
      674.10000         0.13275         0.15328
      675.10000         0.09959         0.11153
      676.10000         0.17290         0.19357
      677.10000         0.10530         0.12112
      678.10000         0.10949         0.12303
      679.10000         0.17546         0.19332
      680.10000         0.09640         0.10795
      681.10000         0.11696         0.13437
      682.10000         0.13251         0.14774
      683.10000         0.09369         0.10251
      684.10000         0.13664         0.15608
      685.10000         0.10279         0.11428
      686.10000         0.11684         0.12390
      687.10000         0.20779         0.22741
      688.10000         0.10499         0.11731
      689.10000         0.10231         0.11689
      690.10000         0.10178         0.11690
      691.10000         0.10168         0.09496
      692.10000         0.14613         0.16032
      693.10000         0.09432         0.09302
      694.10000         0.10342         0.09347
      695.10000         0.14274         0.15563
      696.10000         0.08907         0.08794
      697.10000         0.09074         0.09346
      698.10000         0.09608         0.08982
      699.10000         0.15096         0.11965
      700.10000         0.11964         0.14164
      701.10000         0.15832         0.12313
      702.10000         0.13482         0.12605
      703.10000         0.11276         0.10834
      704.10000         0.17418         0.20448
      705.10000         0.15531         0.11636
      706.10000         0.19128         0.15878
      707.10000         0.17254         0.14683
      708.10000         0.08039         0.08570
      709.10000         0.19877         0.15474
      710.10000         0.22103         0.17841
      711.10000         0.19698         0.17496
      712.10000         0.08935         0.10041
      713.10000         0.12926         0.12976
      714.10000         0.28584         0.24212
      715.10000         0.14093         0.12130
      716.10000         0.20942         0.18240
      717.10000         0.27291         0.21573
      718.10000         0.20155         0.16224
      719.10000         0.14708         0.15832
      720.10000         0.09353         0.10749
      721.10000         0.16825         0.12419
      722.10000         0.23633         0.19334
      723.10000         0.29861         0.25615
      724.10000         0.32207         0.26046
      725.10000         0.27683         0.22810
      726.10000         0.34702         0.29530
      727.10000         0.22295         0.15109
      728.10000         0.27059         0.22531
      729.10000         0.35338         0.29995
      730.10000         0.17733         0.19120
      731.10000         0.26952         0.23545
      732.10000         0.32554         0.25702
      733.10000         0.07395         0.08008
      734.10000         0.30129         0.25995
      735.10000         0.33288         0.27517
      736.10000         0.09177         0.08232
      737.10000         0.30714         0.26977
      738.10000         0.34668         0.29392
      739.10000         0.12177         0.10674
      740.10000         0.28435         0.23389
      741.10000         0.21322         0.17150
      742.10000         0.14256         0.12810
      743.10000         0.33863         0.30441
      744.10000         0.37073         0.33067
      745.10000         0.16404         0.15000
      746.10000         0.35950         0.32700
      747.10000         0.37043         0.31929
      748.10000         0.18680         0.16474
      749.10000         0.36969         0.34001
      750.10000         0.36312         0.32190
      751.10000         0.21904         0.17945
      752.10000         0.38138         0.35423
      753.10000         0.38118         0.33716
      754.10000         0.25769         0.18688
      755.10000         0.38620         0.36496
      756.10000         0.39354         0.35779
      757.10000         0.30370         0.23790
      758.10000         0.39652         0.37724
      759.10000         0.41634         0.39899
      760.10000         0.34869         0.29467
      761.10000         0.40344         0.38013
      762.10000         0.42096         0.40623
      763.10000         0.37748         0.33542
      764.10000         0.40589         0.38340
      765.10000         0.42167         0.40875
      766.10000         0.39881         0.36844
      767.10000         0.40769         0.38527
      768.10000         0.42121         0.40890
      769.10000         0.40949         0.38822
      770.10000         0.41024         0.39333
      771.10000         0.41480         0.39856
      772.10000         0.41359         0.39654
      773.10000         0.42008         0.40896
      774.10000         0.41406         0.39836
      775.10000         0.41626         0.40258
      776.10000         0.42037         0.41046
      777.10000         0.39646         0.38189
      778.10000         0.41756         0.40650
      779.10000         0.41886         0.40918
      780.10000         0.41105         0.39699
      781.10000         0.41248         0.40342
      782.10000         0.41753         0.40862
      783.10000         0.41630         0.40564
      784.10000         0.41738         0.40896
      785.10000         0.40985         0.39825
      786.10000         0.41749         0.40920
      787.10000         0.41473         0.40709
      788.10000         0.41446         0.40424
      789.10000         0.40703         0.39988
      790.10000         0.41621         0.40830
      791.10000         0.36893         0.34349
      792.10000         0.39006         0.36160
      793.10000         0.41130         0.40052
      794.10000         0.41515         0.40809
      795.10000         0.40938         0.39759
      796.10000         0.41077         0.40426
      797.10000         0.41300         0.40635
      798.10000         0.40932         0.39883
      799.10000         0.41222         0.40590
      800.10000         0.41218         0.40546
