             v1        OLR1_CO2        OLR2_CO2
     1920.10000         0.01006         0.00970
     1930.10000         0.01069         0.01055
     1940.10000         0.00255         0.00254
     1950.10000         0.01004         0.00989
     1960.10000         0.01106         0.01068
     1970.10000         0.01667         0.01625
     1980.10000         0.01213         0.01189
     1990.10000         0.00244         0.00242
     2000.10000         0.00442         0.00436
     2010.10000         0.00758         0.00745
     2020.10000         0.00867         0.00844
     2030.10000         0.00836         0.00814
     2040.10000         0.01405         0.01285
     2050.10000         0.01009         0.00796
     2060.10000         0.00573         0.00491
     2070.10000         0.00763         0.00579
     2080.10000         0.00783         0.00672
     2090.10000         0.00748         0.00672
     2100.10000         0.00798         0.00751
     2110.10000         0.00642         0.00592
     2120.10000         0.00694         0.00644
     2130.10000         0.00761         0.00705
     2140.10000         0.00968         0.00885
     2150.10000         0.00985         0.00890
     2160.10000         0.00794         0.00717
     2170.10000         0.00893         0.00789
     2180.10000         0.00708         0.00626
     2190.10000         0.00812         0.00693
     2200.10000         0.00772         0.00642
     2210.10000         0.00703         0.00571
     2220.10000         0.00693         0.00542
     2230.10000         0.00552         0.00429
     2240.10000         0.00583         0.00414
     2250.10000         0.00493         0.00331
     2260.10000         0.00391         0.00245
     2270.10000         0.00295         0.00160
     2280.10000         0.00108         0.00053
     2290.10000         0.00039         0.00025
     2300.10000         0.00004         0.00005
     2310.10000         0.00004         0.00006
     2320.10000         0.00014         0.00019
     2330.10000         0.00025         0.00033
     2340.10000         0.00017         0.00024
     2350.10000         0.00019         0.00026
     2360.10000         0.00094         0.00071
     2370.10000         0.00031         0.00040
     2380.10000         0.00003         0.00005
     2390.10000         0.00041         0.00012
     2400.10000         0.00098         0.00036
     2410.10000         0.00152         0.00067
     2420.10000         0.00197         0.00101
     2430.10000         0.00230         0.00133
     2440.10000         0.00254         0.00161
     2450.10000         0.00270         0.00184
     2460.10000         0.00282         0.00204
     2470.10000         0.00284         0.00216
     2480.10000         0.00289         0.00228
     2490.10000         0.00289         0.00234
