             v1        OLR1_CO2        OLR2_CO2
      198.10000         0.10448         0.10447
      199.10000         0.12415         0.12413
      200.10000         0.12515         0.12513
      201.10000         0.12015         0.12014
      202.10000         0.10138         0.10137
      203.10000         0.09994         0.09994
      204.10000         0.11973         0.11972
      205.10000         0.12843         0.12842
      206.10000         0.13138         0.13136
      207.10000         0.13116         0.13114
      208.10000         0.11981         0.11980
      209.10000         0.10407         0.10407
      210.10000         0.12736         0.12734
      211.10000         0.12987         0.12986
      212.10000         0.13227         0.13226
      213.10000         0.13836         0.13834
      214.10000         0.11116         0.11116
      215.10000         0.10500         0.10500
      216.10000         0.11217         0.11216
      217.10000         0.13427         0.13425
      218.10000         0.14739         0.14737
      219.10000         0.14851         0.14848
      220.10000         0.14887         0.14885
      221.10000         0.14117         0.14115
      222.10000         0.10726         0.10726
      223.10000         0.13935         0.13933
      224.10000         0.10715         0.10715
      225.10000         0.13911         0.13909
      226.10000         0.10782         0.10782
      227.10000         0.13882         0.13882
      228.10000         0.11811         0.11810
      229.10000         0.14233         0.14231
      230.10000         0.15225         0.15223
      231.10000         0.15255         0.15253
      232.10000         0.16093         0.16090
      233.10000         0.16276         0.16273
      234.10000         0.15614         0.15611
      235.10000         0.15368         0.15366
      236.10000         0.17192         0.17188
      237.10000         0.17301         0.17297
      238.10000         0.17637         0.17632
      239.10000         0.17713         0.17709
      240.10000         0.17527         0.17523
      241.10000         0.17527         0.17523
      242.10000         0.17067         0.17064
      243.10000         0.17054         0.17051
      244.10000         0.16845         0.16842
      245.10000         0.12414         0.12414
      246.10000         0.13949         0.13949
      247.10000         0.13541         0.13540
      248.10000         0.12100         0.12101
      249.10000         0.15784         0.15782
      250.10000         0.13765         0.13764
      251.10000         0.16743         0.16740
      252.10000         0.16515         0.16512
      253.10000         0.14446         0.14445
      254.10000         0.12808         0.12808
      255.10000         0.16429         0.16427
      256.10000         0.16948         0.16945
      257.10000         0.17957         0.17954
      258.10000         0.18474         0.18470
      259.10000         0.18766         0.18761
      260.10000         0.18749         0.18745
      261.10000         0.19327         0.19322
      262.10000         0.19821         0.19815
      263.10000         0.19449         0.19444
      264.10000         0.18673         0.18668
      265.10000         0.18718         0.18714
      266.10000         0.15436         0.15434
      267.10000         0.18517         0.18514
      268.10000         0.17804         0.17801
      269.10000         0.20393         0.20387
      270.10000         0.20486         0.20479
      271.10000         0.20566         0.20560
      272.10000         0.20389         0.20384
      273.10000         0.19960         0.19954
      274.10000         0.19617         0.19612
      275.10000         0.19195         0.19191
      276.10000         0.17311         0.17308
      277.10000         0.17027         0.17024
      278.10000         0.14962         0.14962
      279.10000         0.18237         0.18233
      280.10000         0.17335         0.17332
      281.10000         0.18553         0.18549
      282.10000         0.17443         0.17440
      283.10000         0.15153         0.15152
      284.10000         0.17542         0.17539
      285.10000         0.19782         0.19778
      286.10000         0.20223         0.20217
      287.10000         0.20732         0.20727
      288.10000         0.20196         0.20191
      289.10000         0.18541         0.18537
      290.10000         0.17646         0.17644
      291.10000         0.20006         0.20002
      292.10000         0.21279         0.21273
      293.10000         0.21637         0.21630
      294.10000         0.22305         0.22297
      295.10000         0.22413         0.22406
      296.10000         0.21138         0.21131
      297.10000         0.21947         0.21940
      298.10000         0.20822         0.20817
      299.10000         0.21141         0.21135
      300.10000         0.20623         0.20617
      301.10000         0.18129         0.18126
      302.10000         0.18382         0.18379
      303.10000         0.22818         0.22818
      304.10000         0.20485         0.20480
      305.10000         0.21865         0.21858
      306.10000         0.21078         0.21073
      307.10000         0.22333         0.22325
      308.10000         0.23456         0.23446
      309.10000         0.23677         0.23667
      310.10000         0.21908         0.21900
      311.10000         0.21363         0.21357
      312.10000         0.23554         0.23545
      313.10000         0.24465         0.24454
      314.10000         0.22806         0.22798
      315.10000         0.22678         0.22672
      316.10000         0.17940         0.17937
      317.10000         0.22116         0.22110
      318.10000         0.23452         0.23443
      319.10000         0.24267         0.24257
      320.10000         0.24230         0.24220
      321.10000         0.23381         0.23372
      322.10000         0.22413         0.22406
      323.10000         0.18976         0.18973
      324.10000         0.17230         0.17227
      325.10000         0.18547         0.18544
      326.10000         0.20862         0.20857
      327.10000         0.15612         0.15611
      328.10000         0.14479         0.14479
      329.10000         0.23436         0.23427
      330.10000         0.24595         0.24584
      331.10000         0.24909         0.24897
      332.10000         0.24990         0.24978
      333.10000         0.24784         0.24773
      334.10000         0.23462         0.23453
      335.10000         0.16445         0.16444
      336.10000         0.20414         0.20410
      337.10000         0.22584         0.22576
      338.10000         0.25174         0.25163
      339.10000         0.25566         0.25553
      340.10000         0.25031         0.25019
      341.10000         0.19996         0.19991
      342.10000         0.22584         0.22577
      343.10000         0.22109         0.22103
      344.10000         0.26317         0.26303
      345.10000         0.26836         0.26821
      346.10000         0.25705         0.25692
      347.10000         0.23941         0.23931
      348.10000         0.23970         0.23960
      349.10000         0.22024         0.22017
      350.10000         0.22985         0.22977
      351.10000         0.19262         0.19258
      352.10000         0.24259         0.24249
      353.10000         0.25769         0.25756
      354.10000         0.25373         0.25361
      355.10000         0.18671         0.18668
      356.10000         0.23181         0.23172
      357.10000         0.23950         0.23940
      358.10000         0.18884         0.18880
      359.10000         0.22034         0.22027
      360.10000         0.25254         0.25243
      361.10000         0.26614         0.26599
      362.10000         0.27835         0.27817
      363.10000         0.26261         0.26245
      364.10000         0.28676         0.28655
      365.10000         0.29466         0.29443
      366.10000         0.29586         0.29562
      367.10000         0.29734         0.29711
      368.10000         0.26668         0.26653
      369.10000         0.29162         0.29140
      370.10000         0.21951         0.21950
      371.10000         0.21955         0.21947
      372.10000         0.23834         0.23824
      373.10000         0.24943         0.24931
      374.10000         0.18666         0.18663
      375.10000         0.23674         0.23664
      376.10000         0.21474         0.21466
      377.10000         0.28748         0.28727
      378.10000         0.29929         0.29904
      379.10000         0.30256         0.30229
      380.10000         0.27552         0.27531
      381.10000         0.28497         0.28477
      382.10000         0.30910         0.30881
      383.10000         0.31343         0.31312
      384.10000         0.28947         0.28925
      385.10000         0.27678         0.27656
      386.10000         0.18846         0.18841
      387.10000         0.22502         0.22494
      388.10000         0.26616         0.26600
      389.10000         0.28729         0.28707
      390.10000         0.29994         0.29968
      391.10000         0.30907         0.30878
      392.10000         0.29888         0.29862
      393.10000         0.28233         0.28212
      394.10000         0.17494         0.17492
      395.10000         0.27031         0.27013
      396.10000         0.19154         0.19150
      397.10000         0.26637         0.26620
      398.10000         0.21347         0.21340
      399.10000         0.26512         0.26495
      400.10000         0.26581         0.26562
      401.10000         0.26990         0.26969
      402.10000         0.26820         0.26803
      403.10000         0.30562         0.30533
      404.10000         0.32214         0.32178
      405.10000         0.33279         0.33238
      406.10000         0.27057         0.27038
      407.10000         0.33702         0.33658
      408.10000         0.34001         0.33954
      409.10000         0.34601         0.34552
      410.10000         0.34687         0.34637
      411.10000         0.34742         0.34691
      412.10000         0.34887         0.34836
      413.10000         0.34047         0.34000
      414.10000         0.32589         0.32551
      415.10000         0.29031         0.29006
      416.10000         0.31949         0.31909
      417.10000         0.32129         0.32091
      418.10000         0.28753         0.28729
      419.10000         0.25721         0.25711
      420.10000         0.17907         0.17904
      421.10000         0.21231         0.21222
      422.10000         0.24809         0.24794
      423.10000         0.27924         0.27901
      424.10000         0.29797         0.29767
      425.10000         0.26545         0.26526
      426.10000         0.32070         0.32031
      427.10000         0.26452         0.26433
      428.10000         0.31495         0.31456
      429.10000         0.32444         0.32400
