             v1        OLR1_CO2        OLR2_CO2
      198.10000         0.18296         0.18282
      199.10000         0.18430         0.18416
      200.10000         0.18563         0.18549
      201.10000         0.18697         0.18683
      202.10000         0.18831         0.18817
      203.10000         0.18965         0.18950
      204.10000         0.19099         0.19084
      205.10000         0.19233         0.19218
      206.10000         0.19366         0.19351
      207.10000         0.19500         0.19485
      208.10000         0.19634         0.19618
      209.10000         0.19768         0.19752
      210.10000         0.19901         0.19885
      211.10000         0.20035         0.20019
      212.10000         0.20168         0.20152
      213.10000         0.20302         0.20286
      214.10000         0.20436         0.20419
      215.10000         0.20569         0.20552
      216.10000         0.20702         0.20685
      217.10000         0.20836         0.20818
      218.10000         0.20969         0.20951
      219.10000         0.21102         0.21084
      220.10000         0.21235         0.21217
      221.10000         0.21368         0.21350
      222.10000         0.21501         0.21483
      223.10000         0.21634         0.21615
      224.10000         0.21766         0.21748
      225.10000         0.21899         0.21880
      226.10000         0.22032         0.22013
      227.10000         0.22164         0.22145
      228.10000         0.22296         0.22277
      229.10000         0.22429         0.22409
      230.10000         0.22561         0.22541
      231.10000         0.22693         0.22672
      232.10000         0.22824         0.22804
      233.10000         0.22956         0.22936
      234.10000         0.23088         0.23067
      235.10000         0.23219         0.23198
      236.10000         0.23350         0.23329
      237.10000         0.23481         0.23460
      238.10000         0.23612         0.23591
      239.10000         0.23743         0.23721
      240.10000         0.23874         0.23852
      241.10000         0.24005         0.23982
      242.10000         0.24135         0.24112
      243.10000         0.24265         0.24242
      244.10000         0.24395         0.24372
      245.10000         0.24525         0.24502
      246.10000         0.24655         0.24631
      247.10000         0.24784         0.24760
      248.10000         0.24914         0.24890
      249.10000         0.25043         0.25018
      250.10000         0.25172         0.25147
      251.10000         0.25301         0.25276
      252.10000         0.25429         0.25404
      253.10000         0.25557         0.25532
      254.10000         0.25686         0.25660
      255.10000         0.25814         0.25788
      256.10000         0.25941         0.25915
      257.10000         0.26069         0.26043
      258.10000         0.26196         0.26170
      259.10000         0.26323         0.26296
      260.10000         0.26450         0.26423
      261.10000         0.26577         0.26550
      262.10000         0.26704         0.26676
      263.10000         0.26830         0.26802
      264.10000         0.26956         0.26927
      265.10000         0.27082         0.27053
      266.10000         0.27207         0.27178
      267.10000         0.27332         0.27303
      268.10000         0.27457         0.27428
      269.10000         0.27582         0.27552
      270.10000         0.27707         0.27677
      271.10000         0.27831         0.27801
      272.10000         0.27955         0.27924
      273.10000         0.28079         0.28048
      274.10000         0.28202         0.28171
      275.10000         0.28326         0.28294
      276.10000         0.28449         0.28417
      277.10000         0.28572         0.28539
      278.10000         0.28694         0.28661
      279.10000         0.28816         0.28783
      280.10000         0.28938         0.28905
      281.10000         0.29060         0.29026
      282.10000         0.29181         0.29147
      283.10000         0.29302         0.29268
      284.10000         0.29423         0.29388
      285.10000         0.29544         0.29509
      286.10000         0.29664         0.29628
      287.10000         0.29784         0.29748
      288.10000         0.29903         0.29867
      289.10000         0.30023         0.29986
      290.10000         0.30142         0.30105
      291.10000         0.30260         0.30223
      292.10000         0.30379         0.30341
      293.10000         0.30497         0.30459
      294.10000         0.30615         0.30577
      295.10000         0.30732         0.30694
      296.10000         0.30850         0.30811
      297.10000         0.30966         0.30927
      298.10000         0.31083         0.31043
      299.10000         0.31199         0.31159
